"Date","Close"
"Jan 31, 2000","100.000"
"Feb 29, 2000","97.526"
"Mar 31, 2000","107.165"
"Apr 28, 2000","103.602"
"May 31, 2000","100.766"
"Jun 30, 2000","103.087"
"Jul 31, 2000","101.147"
"Aug 31, 2000","106.309"
"Sep 29, 2000","100.433"
"Oct 31, 2000","99.623"
"Nov 30, 2000","91.661"
"Dec 29, 2000","91.425"
"Jan 31, 2001","94.683"
"Feb 28, 2001","86.109"
"Mar 30, 2001","80.543"
"Apr 30, 2001","86.740"
"May 31, 2001","87.130"
"Jun 29, 2001","85.081"
"Jul 31, 2001","84.203"
"Aug 31, 2001","78.487"
"Sep 28, 2001","72.410"
"Oct 31, 2001","73.392"
"Nov 30, 2001","78.926"
"Dec 31, 2001","79.332"
"Jan 31, 2002","78.131"
"Feb 28, 2002","76.483"
"Mar 29, 2002","79.268"
"Apr 30, 2002","74.063"
"May 31, 2002","73.397"
"Jun 28, 2002","67.711"
"Jul 31, 2002","62.772"
"Aug 30, 2002","62.972"
"Sep 30, 2002","55.780"
"Oct 31, 2002","60.759"
"Nov 29, 2002","64.304"
"Dec 31, 2002","60.316"
"Jan 31, 2003","58.782"
"Feb 28, 2003","57.772"
"Mar 31, 2003","58.231"
"Apr 30, 2003","63.019"
"May 30, 2003","66.284"
"Jun 30, 2003","67.010"
"Jul 31, 2003","68.162"
"Aug 29, 2003","69.329"
"Sep 30, 2003","68.435"
"Oct 31, 2003","72.233"
"Nov 28, 2003","72.811"
"Dec 31, 2003","76.469"
"Jan 30, 2004","77.770"
"Feb 27, 2004","78.583"
"Mar 31, 2004","77.234"
"Apr 30, 2004","75.961"
"May 31, 2004","76.849"
"Jun 30, 2004","78.186"
"Jul 30, 2004","75.429"
"Aug 31, 2004","75.682"
"Sep 30, 2004","76.401"
"Oct 29, 2004","77.472"
"Nov 30, 2004","80.510"
"Dec 31, 2004","83.200"
"Jan 31, 2005","81.062"
"Feb 28, 2005","82.579"
"Mar 31, 2005","81.140"
"Apr 29, 2005","79.579"
"May 31, 2005","82.035"
"Jun 30, 2005","82.113"
"Jul 29, 2005","85.102"
"Aug 31, 2005","84.138"
"Sep 30, 2005","84.760"
"Oct 31, 2005","83.280"
"Nov 30, 2005","86.427"
"Dec 30, 2005","86.361"
"Jan 31, 2006","88.630"
"Feb 28, 2006","88.525"
"Mar 31, 2006","89.539"
