"Date","Close"
"Jan 31, 2000","100.000"
"Feb 29, 2000","109.018"
"Mar 31, 2000","108.628"
"Apr 28, 2000","103.221"
"May 31, 2000","102.929"
"Jun 30, 2000","105.771"
"Jul 31, 2000","102.526"
"Aug 31, 2000","99.936"
"Sep 29, 2000","94.864"
"Oct 31, 2000","93.587"
"Nov 30, 2000","90.141"
"Dec 29, 2000","96.237"
"Jan 31, 2001","96.739"
"Feb 28, 2001","87.173"
"Mar 30, 2001","80.506"
"Apr 30, 2001","86.814"
"May 31, 2001","80.715"
"Jun 29, 2001","77.362"
"Jul 31, 2001","77.650"
"Aug 31, 2001","74.665"
"Sep 28, 2001","65.240"
"Oct 31, 2001","68.109"
"Nov 30, 2001","71.485"
"Dec 31, 2001","73.495"
"Jan 31, 2002","69.332"
"Feb 28, 2002","68.959"
"Mar 29, 2002","72.949"
"Apr 30, 2002","71.560"
"May 31, 2002","70.876"
"Jun 28, 2002","68.617"
"Jul 31, 2002","58.834"
"Aug 30, 2002","59.232"
"Sep 30, 2002","49.223"
"Oct 31, 2002","55.556"
"Nov 29, 2002","59.193"
"Dec 31, 2002","56.341"
"Jan 31, 2003","54.439"
"Feb 28, 2003","52.154"
"Mar 31, 2003","50.451"
"Apr 30, 2003","58.352"
"May 30, 2003","61.981"
"Jun 30, 2003","62.564"
"Jul 31, 2003","64.008"
"Aug 29, 2003","63.948"
"Sep 30, 2003","64.116"
"Oct 31, 2003","68.835"
"Nov 28, 2003","72.399"
"Dec 31, 2003","78.813"
"Jan 30, 2004","80.100"
"Feb 27, 2004","81.620"
"Mar 31, 2004","78.297"
"Apr 30, 2004","76.885"
"May 31, 2004","77.308"
"Jun 30, 2004","78.900"
"Jul 30, 2004","75.762"
"Aug 31, 2004","75.481"
"Sep 30, 2004","78.862"
"Oct 29, 2004","82.916"
"Nov 30, 2004","88.978"
"Dec 31, 2004","93.532"
"Jan 31, 2005","91.407"
"Feb 28, 2005","95.621"
"Mar 31, 2005","93.253"
"Apr 29, 2005","88.957"
"May 31, 2005","89.236"
"Jun 30, 2005","90.472"
"Jul 29, 2005","94.704"
"Aug 31, 2005","94.895"
"Sep 30, 2005","97.430"
"Oct 31, 2005","93.549"
"Nov 30, 2005","95.564"
"Dec 30, 2005","99.353"
"Jan 31, 2006","106.358"
"Feb 28, 2006","107.357"
"Mar 31, 2006","111.927"
"Apr 28, 2006","116.269"
"May 31, 2006","111.709"
"Jun 30, 2006","111.433"
"Jul 31, 2006","112.230"
"Aug 31, 2006","116.387"
"Sep 29, 2006","118.263"
"Oct 31, 2006","122.762"
"Nov 30, 2006","127.702"
"Dec 29, 2006","132.136"
"Jan 31, 2007","132.879"
"Feb 28, 2007","132.931"
"Mar 30, 2007","137.835"
"Apr 30, 2007","147.231"
"May 31, 2007","149.583"
"Jun 29, 2007","148.655"
"Jul 31, 2007","145.008"
"Aug 31, 2007","143.364"
"Sep 28, 2007","151.714"
"Oct 31, 2007","159.005"
"Nov 30, 2007","155.636"
"Dec 31, 2007","154.296"
"Jan 31, 2008","135.927"
"Feb 29, 2008","137.723"
"Mar 31, 2008","139.803"
"Apr 30, 2008","144.707"
"May 30, 2008","143.762"
"Jun 30, 2008","128.517"
"Jul 31, 2008","125.196"
