Date,^125904-USD-STRD
2000-11-22,1269.19
2000-11-23,1276.03
2000-11-24,1290.84
2000-11-27,1310.92
2000-11-28,1301.0
2000-11-29,1302.99
2000-11-30,1291.06
2000-12-01,1310.15
2000-12-04,1314.6
2000-12-05,1343.3
2000-12-06,1336.16
2000-12-07,1337.56
2000-12-08,1341.69
2000-12-11,1353.01
2000-12-12,1347.66
2000-12-13,1338.79
2000-12-14,1334.42
2000-12-15,1323.94
2000-12-18,1327.99
2000-12-19,1336.11
2000-12-20,1318.67
2000-12-21,1315.75
2000-12-22,1330.1
2000-12-26,1336.67
2000-12-27,1358.54
2000-12-28,1361.95
2000-12-29,1378.4
2001-01-02,1372.15
2001-01-03,1354.22
2001-01-04,1378.07
2001-01-05,1380.51
2001-01-08,1371.93
2001-01-09,1348.24
2001-01-10,1340.86
2001-01-11,1367.62
2001-01-12,1375.0
2001-01-15,1370.42
2001-01-16,1350.97
2001-01-17,1368.23
2001-01-18,1381.73
2001-01-19,1365.89
2001-01-22,1366.78
2001-01-23,1370.3
2001-01-24,1360.63
2001-01-25,1361.82
2001-01-26,1362.06
2001-01-29,1359.97
2001-01-30,1366.84
2001-01-31,1378.66
2001-02-01,1379.26
2001-02-02,1362.31
2001-02-05,1369.31
2001-02-06,1365.25
2001-02-07,1350.07
2001-02-08,1331.77
2001-02-09,1320.93
2001-02-12,1339.08
2001-02-13,1328.35
2001-02-14,1310.06
2001-02-15,1305.68
2001-02-16,1294.12
2001-02-19,1296.98
2001-02-20,1272.36
2001-02-21,1264.95
2001-02-22,1253.9
2001-02-23,1233.97
2001-02-26,1244.16
2001-02-27,1258.28
2001-02-28,1256.11
2001-03-01,1257.8
2001-03-02,1265.05
2001-03-05,1271.49
2001-03-06,1289.64
2001-03-07,1285.65
2001-03-08,1284.34
2001-03-09,1270.13
2001-03-12,1238.1
2001-03-13,1210.53
2001-03-14,1185.54
2001-03-15,1198.96
2001-03-16,1156.48
2001-03-19,1150.05
2001-03-20,1173.5
2001-03-21,1145.24
2001-03-22,1081.99
2001-03-23,1117.24
2001-03-26,1157.4
2001-03-27,1185.43
2001-03-28,1158.35
2001-03-29,1152.62
2001-03-30,1159.78
2001-04-02,1153.11
2001-04-03,1123.65
2001-04-04,1146.94
2001-04-05,1165.94
2001-04-06,1168.03
2001-04-09,1185.57
2001-04-10,1198.65
2001-04-11,1194.8
2001-04-12,1203.61
2001-04-13,1203.61
2001-04-16,1193.69
2001-04-17,1185.41
2001-04-18,1206.41
2001-04-19,1222.71
2001-04-20,1227.71
2001-04-23,1212.9
2001-04-24,1213.76
2001-04-25,1215.32
2001-04-26,1228.01
2001-04-27,1234.57
2001-04-30,1239.08
2001-05-01,1241.67
2001-05-02,1235.75
2001-05-03,1213.9
2001-05-04,1224.29
2001-05-07,1227.38
2001-05-08,1219.42
