Date,Close
"Jan 31, 2000",100.000
"Feb 29, 2000",100.175
"Mar 31, 2000",107.001
"Apr 28, 2000",102.381
"May 31, 2000",99.693
"Jun 30, 2000",102.950
"Jul 31, 2000",99.955
"Aug 31, 2000",103.110
"Sep 29, 2000",97.534
"Oct 31, 2000",95.807
"Nov 30, 2000",89.898
"Dec 29, 2000",91.258
"Jan 31, 2001",92.974
"Feb 28, 2001",85.028
"Mar 30, 2001",79.302
"Apr 30, 2001",85.043
"May 31, 2001",83.773
"Jun 29, 2001",81.060
"Jul 31, 2001",79.931
"Aug 31, 2001",75.975
"Sep 28, 2001",69.197
"Oct 31, 2001",70.480
"Nov 30, 2001",74.570
"Dec 31, 2001",74.987
"Jan 31, 2002",72.664
"Feb 28, 2002",71.940
"Mar 29, 2002",74.993
"Apr 30, 2002",72.352
"May 31, 2002",72.322
"Jun 28, 2002",67.836
"Jul 31, 2002",62.063
"Aug 30, 2002",62.065
"Sep 30, 2002",55.160
"Oct 31, 2002",59.173
"Nov 29, 2002",62.281
"Dec 31, 2002",59.198
"Jan 31, 2003",57.350
"Feb 28, 2003",56.258
"Mar 31, 2003",55.941
"Apr 30, 2003",60.774
"May 30, 2003",64.088
"Jun 30, 2003",65.090
"Jul 31, 2003",66.339
"Aug 29, 2003",67.650
"Sep 30, 2003",67.973
"Oct 31, 2003",71.938
"Nov 28, 2003",72.933
"Dec 31, 2003",77.439
"Jan 30, 2004",78.632
"Feb 27, 2004",79.854
"Mar 31, 2004",79.145
"Apr 30, 2004",77.389
"May 31, 2004",77.910
"Jun 30, 2004",79.396
"Jul 30, 2004",76.742
"Aug 31, 2004",76.939
"Sep 30, 2004",78.301
"Oct 29, 2004",80.157
"Nov 30, 2004",84.240
"Dec 31, 2004",87.379
"Jan 31, 2005",85.362
"Feb 28, 2005",87.929
"Mar 31, 2005",86.022
"Apr 29, 2005",83.964
"May 31, 2005",85.237
"Jun 30, 2005",85.845
"Jul 29, 2005",88.785
"Aug 31, 2005",89.282
"Sep 30, 2005",91.486
"Oct 31, 2005",89.212
"Nov 30, 2005",92.017
"Dec 30, 2005",93.987
"Jan 31, 2006",98.129
"Feb 28, 2006",97.848
"Mar 31, 2006",99.763
"Apr 28, 2006",102.626
"May 31, 2006",98.804
"Jun 30, 2006",98.632
"Jul 31, 2006",99.177
"Aug 31, 2006",101.541
"Sep 29, 2006",102.624
"Oct 31, 2006",106.328
"Nov 30, 2006",108.737
"Dec 29, 2006",110.860
"Jan 31, 2007",112.104
"Feb 28, 2007",111.373
"Mar 30, 2007",113.147
"Apr 30, 2007",117.905
"May 31, 2007",120.820
"Jun 29, 2007",119.736
"Jul 31, 2007",117.005
"Aug 31, 2007",116.689
"Sep 28, 2007",122.068
"Oct 31, 2007",125.713
"Nov 30, 2007",120.377
"Dec 31, 2007",118.723
"Jan 31, 2008",109.572
"Feb 29, 2008",108.766
"Mar 31, 2008",107.409
"Apr 30, 2008",112.759
"May 30, 2008",114.009
"Jun 30, 2008",104.774
"Jul 31, 2008",102.126
"Aug 29, 2008",100.494
"Sep 30, 2008",88.358
"Oct 31, 2008",71.530
"Nov 28, 2008",66.724
"Dec 31, 2008",68.764
"Jan 30, 2009",62.681
"Feb 27, 2009",56.108
"Mar 31, 2009",60.170
"Apr 30, 2009",66.731
"May 29, 2009",72.483
"Jun 30, 2009",72.038
"Jul 31, 2009",78.069
"Aug 31, 2009",81.121
"Sep 30, 2009",84.214
"Oct 30, 2009",82.658
"Nov 30, 2009",85.859
"Dec 31, 2009",87.313
"Jan 29, 2010",83.657
"Feb 26, 2010",84.689
"Mar 31, 2010",89.709
"Apr 30, 2010",89.562
"May 31, 2010",80.688
"Jun 30, 2010",77.813
"Jul 30, 2010",84.052
"Aug 31, 2010",80.755
"Sep 30, 2010",88.115
"Oct 29, 2010",91.330
"Nov 30, 2010",89.188
"Dec 31, 2010",95.653
"Jan 31, 2011",97.746
"Feb 28, 2011",101.001
"Mar 31, 2011",99.752
"Apr 29, 2011",103.764
"May 31, 2011",101.223
"Jun 30, 2011",99.472
"Jul 29, 2011",97.594
"Aug 31, 2011",90.508
"Sep 30, 2011",82.501
"Oct 31, 2011",90.962
"Nov 30, 2011",88.519
"Dec 30, 2011",88.369
"Jan 31, 2012",92.725
"Feb 29, 2012",97.046
"Mar 30, 2012",98.040
"Apr 30, 2012",96.693
"May 31, 2012",87.999
"Jun 29, 2012",92.338
"Jul 31, 2012",93.448
"Aug 31, 2012",95.588
"Sep 28, 2012",98.002
"Oct 31, 2012",97.256
"Nov 30, 2012",98.300
"Dec 31, 2012",100.019
"Jan 31, 2013",105.023
"Feb 28, 2013",105.002
"Mar 29, 2013",107.194
"Apr 30, 2013",110.304
"May 31, 2013",109.990
"Jun 28, 2013",107.121
"Jul 31, 2013",112.678
"Aug 30, 2013",110.050
"Sep 30, 2013",115.350
"Oct 31, 2013",119.773
"Nov 29, 2013",121.683
"Dec 31, 2013",124.123
"Jan 31, 2014",119.444
"Feb 28, 2014",125.194
"Mar 31, 2014",125.080
"Apr 30, 2014",126.116
"May 30, 2014",128.167
"Jun 30, 2014",130.276
"Jul 31, 2014",128.105
"Aug 29, 2014",130.670
"Sep 30, 2014",126.913
"Oct 31, 2014",127.637
"Nov 28, 2014",129.983
"Dec 31, 2014",127.755
"Jan 30, 2015",125.353
"Feb 27, 2015",132.477
"Mar 31, 2015",130.082
"Apr 30, 2015",132.890
"May 29, 2015",132.958
"Jun 30, 2015",129.693
"Jul 31, 2015",131.934
"Aug 31, 2015",122.954
"Sep 30, 2015",118.209
"Oct 30, 2015",127.466
"Nov 30, 2015",126.613
"Dec 31, 2015",124.252
"Jan 29, 2016",116.733
"Feb 29, 2016",115.612
"Mar 31, 2016",123.155
"Apr 29, 2016",124.850
"May 31, 2016",125.135
"Jun 30, 2016",123.537
"Jul 29, 2016",128.660
"Aug 31, 2016",128.491
"Sep 30, 2016",128.950
"Oct 31, 2016",126.354
"Nov 30, 2016",127.935
"Dec 30, 2016",130.859
"Jan 31, 2017",133.937
"Feb 28, 2017",137.396
"Mar 31, 2017",138.516
"Apr 28, 2017",140.354
"May 31, 2017",142.854
"Jun 30, 2017",143.204
"Jul 31, 2017",146.543
"Aug 31, 2017",146.441
"Sep 29, 2017",149.491
"Oct 31, 2017",152.200
"Nov 30, 2017",155.230
"Dec 29, 2017",157.179
"Jan 31, 2018",165.383
"Feb 28, 2018",158.266
"Mar 30, 2018",154.444
"Apr 30, 2018",155.914
"May 31, 2018",156.393
"Jun 29, 2018",156.122
"Jul 31, 2018",160.889
"Aug 31, 2018",162.563
"Sep 28, 2018",163.199
"Oct 31, 2018",151.092
"Nov 30, 2018",152.540
"Dec 31, 2018",140.774
"Jan 31, 2019",151.578
"Feb 28, 2019",155.864
"Mar 29, 2019",157.500
"Apr 30, 2019",162.801
"May 31, 2019",152.905
"Jun 28, 2019",162.776
"Jul 31, 2019",163.465
"Aug 30, 2019",159.800
"Sep 30, 2019",162.901
"Oct 31, 2019",166.899
"Nov 29, 2019",171.288
"Dec 31, 2019",176.236
"Jan 31, 2020",175.036
"Feb 28, 2020",159.995
"Mar 31, 2020",138.444
"Apr 30, 2020",153.398
"May 29, 2020",160.500
"Jun 30, 2020",164.528
"Jul 31, 2020",172.239
"Aug 31, 2020",183.487
"Sep 30, 2020",176.894
"Oct 30, 2020",171.338
"Nov 30, 2020",193.025
"Dec 31, 2020",201.013
"Jan 29, 2021",198.894
"Feb 26, 2021",203.767
"Mar 31, 2021",210.103
"Apr 30, 2021",219.598
"May 31, 2021",222.358
"Jun 30, 2021",225.461
"Jul 30, 2021",229.349
"Aug 31, 2021",234.736
"Sep 30, 2021",224.668
"Oct 29, 2021",237.230
"Nov 30, 2021",231.781
"Dec 31, 2021",241.490
"Jan 31, 2022",228.586
"Feb 28, 2022",222.527
"Mar 31, 2022",228.140
"Apr 29, 2022",208.901
"May 31, 2022",208.558
"Jun 30, 2022",190.263
"Jul 29, 2022",205.221
"Aug 31, 2022",196.326
"Sep 30, 2022",177.743
"Oct 31, 2022",190.377
"Nov 30, 2022",203.318
"Dec 30, 2022",194.485
"Jan 31, 2023",208.108
"Feb 28, 2023",202.845
"Mar 31, 2023",208.589
"Apr 28, 2023",211.914
"May 31, 2023",209.271
"Jun 30, 2023",221.687
"Jul 31, 2023",228.979
"Aug 31, 2023",223.130
"Sep 29, 2023",213.207
"Oct 31, 2023",206.884
"Nov 30, 2023",225.940
"Dec 29, 2023",236.816
"Jan 31, 2024",239.516
"Feb 29, 2024",249.372
"Mar 29, 2024",256.886
"Apr 30, 2024",246.987
"May 31, 2024",257.439
"Jun 28, 2024",262.417
"Jul 31, 2024",266.885
"Aug 30, 2024",273.585
"Sep 30, 2024",278.202
"Oct 31, 2024",272.531
"Nov 29, 2024",284.712
"Dec 31, 2024",277.067
,
