"Date","Close"
"Jan 31, 2000","100.000"
"Feb 29, 2000","105.098"
"Mar 31, 2000","107.516"
"Apr 28, 2000","102.652"
"May 31, 2000","101.696"
"Jun 30, 2000","103.757"
"Jul 31, 2000","101.983"
"Aug 31, 2000","100.667"
"Sep 29, 2000","95.839"
"Oct 31, 2000","95.001"
"Nov 30, 2000","91.210"
"Dec 29, 2000","97.380"
"Jan 31, 2001","97.398"
"Feb 28, 2001","88.741"
"Mar 30, 2001","81.936"
"Apr 30, 2001","87.538"
"May 31, 2001","82.942"
"Jun 29, 2001","79.659"
"Jul 31, 2001","79.811"
"Aug 31, 2001","77.561"
"Sep 28, 2001","69.770"
"Oct 31, 2001","71.970"
"Nov 30, 2001","74.804"
"Dec 31, 2001","76.706"
"Jan 31, 2002","72.657"
"Feb 28, 2002","72.533"
"Mar 29, 2002","76.273"
"Apr 30, 2002","75.478"
"May 31, 2002","74.922"
"Jun 28, 2002","72.174"
"Jul 31, 2002","64.072"
"Aug 30, 2002","63.859"
"Sep 30, 2002","55.412"
"Oct 31, 2002","60.723"
"Nov 29, 2002","63.638"
"Dec 31, 2002","61.283"
"Jan 31, 2003","58.340"
"Feb 28, 2003","56.306"
"Mar 31, 2003","55.232"
"Apr 30, 2003","62.367"
"May 30, 2003","66.107"
"Jun 30, 2003","66.568"
"Jul 31, 2003","67.822"
"Aug 29, 2003","67.483"
"Sep 30, 2003","68.801"
"Oct 31, 2003","73.348"
"Nov 28, 2003","76.353"
"Dec 31, 2003","82.604"
"Jan 30, 2004","83.520"
"Feb 27, 2004","85.846"
"Mar 31, 2004","82.845"
"Apr 30, 2004","81.825"
"May 31, 2004","82.730"
"Jun 30, 2004","83.630"
"Jul 30, 2004","81.255"
"Aug 31, 2004","81.046"
"Sep 30, 2004","84.239"
"Oct 29, 2004","87.239"
"Nov 30, 2004","93.441"
"Dec 31, 2004","97.348"
"Jan 31, 2005","95.481"
"Feb 28, 2005","100.067"
"Mar 31, 2005","97.216"
"Apr 29, 2005","94.258"
"May 31, 2005","94.077"
"Jun 30, 2005","95.143"
"Jul 29, 2005","98.542"
"Aug 31, 2005","99.711"
"Sep 30, 2005","102.068"
"Oct 31, 2005","98.799"
"Nov 30, 2005","100.225"
"Dec 30, 2005","103.717"
"Jan 31, 2006","110.428"
"Feb 28, 2006","110.375"
"Mar 31, 2006","114.230"
"Apr 28, 2006","119.648"
"May 31, 2006","115.535"
"Jun 30, 2006","115.619"
"Jul 31, 2006","117.267"
"Aug 31, 2006","120.599"
"Sep 29, 2006","121.559"
"Oct 31, 2006","126.700"
"Nov 30, 2006","130.906"
"Dec 29, 2006","135.063"
"Jan 31, 2007","135.786"
"Feb 28, 2007","135.144"
"Mar 30, 2007","139.541"
"Apr 30, 2007","147.885"
"May 31, 2007","149.498"
"Jun 29, 2007","149.154"
"Jul 31, 2007","145.865"
"Aug 31, 2007","143.857"
"Sep 28, 2007","151.049"
"Oct 31, 2007","157.922"
"Nov 30, 2007","152.582"
"Dec 31, 2007","149.862"
"Jan 31, 2008","134.129"
"Feb 29, 2008","136.051"
"Mar 31, 2008","136.105"
"Apr 30, 2008","141.395"
"May 30, 2008","140.718"
"Jun 30, 2008","128.252"
"Jul 31, 2008","124.448"
"Aug 29, 2008","119.218"
"Sep 30, 2008","101.109"
"Oct 31, 2008","79.554"
"Nov 28, 2008","73.804"
"Dec 31, 2008","77.630"
"Jan 30, 2009","68.967"
"Feb 27, 2009","61.742"
"Mar 31, 2009","65.851"
"Apr 30, 2009","74.515"
"May 29, 2009","82.799"
"Jun 30, 2009","80.970"
"Jul 31, 2009","89.379"
"Aug 31, 2009","94.777"
"Sep 30, 2009","99.095"
"Oct 30, 2009","97.887"
"Nov 30, 2009","100.445"
"Dec 31, 2009","101.882"
"Jan 29, 2010","95.815"
"Feb 26, 2010","93.717"
"Mar 31, 2010","99.510"
"Apr 30, 2010","96.426"
"May 31, 2010","83.938"
"Jun 30, 2010","83.154"
"Jul 30, 2010","92.748"
"Aug 31, 2010","89.137"
"Sep 30, 2010","98.848"
"Oct 29, 2010","103.049"
"Nov 30, 2010","95.003"
"Dec 31, 2010","102.921"
"Jan 31, 2011","106.880"
"Feb 28, 2011","110.183"
"Mar 31, 2011","108.976"
"Apr 29, 2011","117.066"
"May 31, 2011","112.212"
"Jun 30, 2011","109.831"
"Jul 29, 2011","106.020"
"Aug 31, 2011","95.143"
"Sep 30, 2011","84.571"
"Oct 31, 2011","94.746"
"Nov 30, 2011","90.145"
"Dec 30, 2011","88.700"
"Jan 31, 2012","92.748"
"Feb 29, 2012","98.353"
"Mar 30, 2012","97.475"
"Apr 30, 2012","94.612"
"May 31, 2012","82.291"
"Jun 29, 2012","88.590"
"Jul 31, 2012","89.504"
"Aug 31, 2012","93.181"
"Sep 28, 2012","95.794"
"Oct 31, 2012","97.083"
"Nov 30, 2012","99.420"
"Dec 31, 2012","102.139"
"Jan 31, 2013","107.990"
"Feb 28, 2013","104.785"
"Mar 29, 2013","104.237"
"Apr 30, 2013","108.035"
"May 31, 2013","107.545"
"Jun 28, 2013","102.145"
"Jul 31, 2013","109.608"
"Aug 30, 2013","107.929"
"Sep 30, 2013","115.586"
"Oct 31, 2013","120.457"
"Nov 29, 2013","121.656"
"Dec 31, 2013","124.283"
"Jan 31, 2014","119.403"
"Feb 28, 2014","127.872"
"Mar 31, 2014","126.172"
"Apr 30, 2014","128.710"
"May 30, 2014","128.950"
"Jun 30, 2014","128.571"
"Jul 31, 2014","123.643"
"Aug 29, 2014","123.844"
"Sep 30, 2014","119.096"
"Oct 31, 2014","115.877"
"Nov 28, 2014","118.765"
"Dec 31, 2014","113.611"
"Jan 30, 2015","113.528"
"Feb 27, 2015","120.485"
"Mar 31, 2015","116.851"
"Apr 30, 2015","121.351"
"May 29, 2015","119.649"
"Jun 30, 2015","115.783"
"Jul 31, 2015","119.327"
"Aug 31, 2015","110.521"
"Sep 30, 2015","105.281"
"Oct 30, 2015","112.711"
"Nov 30, 2015","110.468"
"Dec 31, 2015","107.571"
"Jan 29, 2016","100.416"
"Feb 29, 2016","98.323"
"Mar 31, 2016","104.148"
"Apr 29, 2016","106.082"
"May 31, 2016","104.643"
"Jun 30, 2016","99.750"
"Jul 29, 2016","103.848"
"Aug 31, 2016","103.856"
"Sep 30, 2016","104.695"
"Oct 31, 2016","101.178"
"Nov 30, 2016","98.808"
"Dec 30, 2016","103.928"
"Jan 31, 2017","106.044"
"Feb 28, 2017","107.027"
"Mar 31, 2017","110.924"
"Apr 28, 2017","114.383"
"May 31, 2017","119.052"
"Jun 30, 2017","117.502"
"Jul 31, 2017","120.958"
"Aug 31, 2017","120.683"
"Sep 29, 2017","124.578"
"Oct 31, 2017","125.057"
"Nov 30, 2017","125.127"
"Dec 29, 2017","126.928"
"Jan 31, 2018","133.734"
"Feb 28, 2018","125.594"
"Mar 30, 2018","123.671"
"Apr 30, 2018","126.374"
"May 31, 2018","121.317"
"Jun 29, 2018","120.285"
"Jul 31, 2018","124.229"
"Aug 31, 2018","120.426"
"Sep 28, 2018","120.756"
"Oct 31, 2018","111.428"
"Nov 30, 2018","110.190"
"Dec 31, 2018","105.010"
"Jan 31, 2019","111.802"
"Feb 28, 2019","115.286"
"Mar 29, 2019","115.525"
"Apr 30, 2019","119.025"
"May 31, 2019","111.571"
"Jun 28, 2019","118.873"
"Jul 31, 2019","116.510"
"Aug 30, 2019","113.221"
"Sep 30, 2019","116.201"
"Oct 31, 2019","119.774"
"Nov 29, 2019","121.379"
"Dec 31, 2019","126.047"
"Jan 31, 2020","122.817"
"Feb 28, 2020","111.148"
"Mar 31, 2020","94.775"
"Apr 30, 2020","100.140"
"May 29, 2020","104.313"
"Jun 30, 2020","108.359"
"Jul 31, 2020","112.352"
"Aug 31, 2020","116.730"
"Sep 30, 2020","112.771"
"Oct 30, 2020","106.313"
"Nov 30, 2020","124.260"
"Dec 31, 2020","130.007"
"Jan 29, 2021","128.070"
"Feb 26, 2021","131.014"
"Mar 31, 2021","134.585"
"Apr 30, 2021","140.105"
"May 31, 2021","145.320"
"Jun 30, 2021","143.156"
"Jul 30, 2021","145.692"
"Aug 31, 2021","147.531"
"Sep 30, 2021","140.374"
"Oct 29, 2021","146.526"
"Nov 30, 2021","138.785"
"Dec 31, 2021","147.885"
"Jan 31, 2022","141.050"
"Feb 28, 2022","136.884"
"Mar 31, 2022","136.164"
"Apr 29, 2022","127.702"
"May 31, 2022","127.760"
"Jun 30, 2022","114.900"
"Jul 29, 2022","120.496"
"Aug 31, 2022","112.697"
"Sep 30, 2022","102.785"
"Oct 31, 2022","110.077"
"Nov 30, 2022","122.399"
"Dec 30, 2022","122.332"
"Jan 31, 2023","132.860"
"Feb 28, 2023","131.851"
"Mar 31, 2023","134.432"
"Apr 28, 2023","139.295"
"May 31, 2023","130.207"
"Jun 30, 2023","136.239"
"Jul 31, 2023","140.296"
"Aug 31, 2023","134.358"
"Sep 29, 2023","128.927"
"Oct 31, 2023","124.025"
"Nov 30, 2023","136.025"
"Dec 29, 2023","142.736"
"Jan 31, 2024","142.492"
"Feb 29, 2024","144.493"
"Mar 29, 2024","149.302"
"Apr 30, 2024","145.667"
"May 31, 2024","151.653"
"Jun 28, 2024","148.039"
"Jul 31, 2024","151.122"
"Aug 30, 2024","156.734"
"Sep 30, 2024","157.236"
"Oct 31, 2024","147.837"
"Nov 29, 2024","145.103"
"Dec 31, 2024","141.501"
